time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,datetimes
2023-02-10 14:00:00,1547.64,1535.69,1538.02,20059.98,30948127.43,1543.36,direct,,2023-02-10
2023-02-10 15:00:00,1547.64,1510.01,1543.36,56982.87,87150642.27,1522.85,direct,,2023-02-10
2023-02-10 16:00:00,1531.49,1515.35,1522.85,46193.91,70403183.73,1520.18,direct,,2023-02-10
2023-02-10 17:00:00,1526.15,1515.7,1520.18,20065.4,30510378.9,1525.72,direct,,2023-02-10
2023-02-10 18:00:00,1528.31,1523.26,1525.72,17151.04,26181270.54,1527.57,direct,,2023-02-10
2023-02-10 19:00:00,1538.37,1523.75,1527.57,33684.72,51527199.93,1534.48,direct,,2023-02-10
2023-02-10 20:00:00,1535.37,1528.49,1534.48,21833.39,33439774.67,1529.62,direct,,2023-02-10
2023-02-10 21:00:00,1529.75,1496.52,1529.62,55497.35,83802592.37,1505.91,direct,,2023-02-10
2023-02-10 22:00:00,1516.59,1504.75,1505.91,22896.01,34601380.08,1509.56,direct,,2023-02-10
2023-02-10 23:00:00,1517.82,1507.37,1509.56,14276.08,21603445.05,1513.79,direct,,2023-02-10
2023-02-11 00:00:00,1517.76,1508.54,1513.79,12050.65,18237292.86,1516.15,direct,,2023-02-11
2023-02-11 01:00:00,1518.48,1510.23,1516.15,8527.97,12912076.54,1512.56,direct,,2023-02-11
2023-02-11 02:00:00,1516.92,1512.16,1512.56,6222.04,9425100.35,1516.92,direct,,2023-02-11
2023-02-11 03:00:00,1523.56,1516.61,1516.92,6129.42,9319397.81,1520.62,direct,,2023-02-11
2023-02-11 04:00:00,1521.09,1518.72,1520.62,3443.33,5233218.24,1520.2,direct,,2023-02-11
2023-02-11 05:00:00,1521.65,1516.76,1520.2,3585.73,5446628.41,1518.11,direct,,2023-02-11
2023-02-11 06:00:00,1519.56,1515.53,1518.11,2461.04,3735171.83,1518.77,direct,,2023-02-11
2023-02-11 07:00:00,1523.21,1516.56,1518.77,4538.7,6897572.82,1520.96,direct,,2023-02-11
2023-02-11 08:00:00,1525.85,1519.53,1520.96,6424.53,9783706.87,1523.01,direct,,2023-02-11
2023-02-11 09:00:00,1524.67,1521.27,1523.01,2599.18,3957759.51,1522.41,direct,,2023-02-11
2023-02-11 10:00:00,1522.44,1516.26,1522.41,6985.17,10611165.07,1519.09,direct,,2023-02-11
2023-02-11 11:00:00,1520.59,1517.37,1519.09,1849.58,2809113.45,1520.09,direct,,2023-02-11
2023-02-11 12:00:00,1524.55,1515.76,1520.09,7531.62,11447496.26,1519.64,direct,,2023-02-11
2023-02-11 13:00:00,1523.59,1518.48,1519.64,3754.25,5711888.18,1523.28,direct,,2023-02-11
2023-02-11 14:00:00,1526.54,1519.82,1523.28,6355.86,9680643.52,1525.15,direct,,2023-02-11
2023-02-11 15:00:00,1526.25,1521.08,1525.15,7150.71,10897793.63,1522.83,direct,,2023-02-11
2023-02-11 16:00:00,1523.3,1517.17,1522.83,5583.3,8487235.3,1518.24,direct,,2023-02-11
2023-02-11 17:00:00,1518.57,1515.72,1518.24,10398.4,15773577.68,1518.57,direct,,2023-02-11
2023-02-11 18:00:00,1521.45,1510.11,1518.57,14415.47,21829448.5,1515.23,direct,,2023-02-11
2023-02-11 19:00:00,1518.95,1515.01,1515.23,3998.0,6064398.49,1518.64,direct,,2023-02-11
2023-02-11 20:00:00,1523.37,1517.32,1518.64,6116.89,9302132.82,1520.52,direct,,2023-02-11
2023-02-11 21:00:00,1536.39,1519.35,1520.52,15627.62,23919596.04,1534.68,direct,,2023-02-11
