b'btcdailyreturn',42,2023-04-19 22:02:23+00:00,b'\xe2\x82\xbf #BTC close price for 4h tf is 29153.65 USD (-0.25%). Highest: 30413.53 USD. Lowest: 28813.88 USD. Price is 1.18%\xe2\x80\xa6 https://t.co/S1XewbQr0L',1648809292969984004,b'\xe2\x82\xbf close price for h tf is USD (-0.25%). Highest: USD. Lowest: USD. Price is %\xe2\x80\xa6 '
b'EHT10C',31,2023-04-19 22:01:03+00:00,"b'   Wed, 19 Apr 2023 22:00:42 GMT - TOP 10 - $BTC: $29,132.00 +71.06% | $ETH: $1,972.10 +56.99% | $USDT: $1.00 |\xe2\x80\xa6 https://t.co/plqQnVwdbO'",1648808957287321601,"b' Wed, Apr :00:42 GMT - TOP - $BTC: $29,132.00 +71.06% | $ETH: $1,972.10 +56.99% | $USDT: $1.00 |\xe2\x80\xa6 '"
b'\xf0\x9d\x90\xa7\xf0\x9d\x90\xa8\xf0\x9d\x90\xab\xf0\x9d\x90\x9a \xf0\x9d\x90\x9f\xf0\x9d\x90\xab\xf0\x9d\x90\x9e\xf0\x9d\x90\x9e\xf0\x9d\x90\xad\xf0\x9d\x90\x9a\xf0\x9d\x90\xa0',575,2023-04-19 22:01:00+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648808943899246594,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'CoinOK',10383,2023-04-19 22:00:19+00:00,b'1 BTC Price: Bitstamp 29185 USD #BTC #Bitcoin 2023-04-19 18:00 https://t.co/88BsP44FnC',1648808774008975360,b'1 BTC Price: Bitstamp USD -04-19 :00 '
b'EverTry',32,2023-04-19 22:00:11+00:00,"b'Bitcoin price alert 2023-04-19 23:00:10 GMT\nBTC: $29,171\nETH: $1,976\nADA: $0.41893\nDOGE: $0.088235\nLINK: $7.8948\nMA\xe2\x80\xa6 https://t.co/QhuRjXisIl'",1648808737501777920,"b'Bitcoin price alert -04-19 :00:10 GMT\nBTC: $29,171\nETH: $1,976\nADA: $0.41893\nDOGE: $0.088235\nLINK: $7.8948\nMA\xe2\x80\xa6 '"
b'Bitcoin TX Fee Rates',2051,2023-04-19 22:00:03+00:00,"b'Fastest: 8 sat/vB ($0.33)\nHalf Hour: 8 sat/vB ($0.33)\nHour: 8 sat/vB ($0.33)\nMinimum Fee: 1.00 sat/vB ($0.04)\nPending Transactions: 11,814'",1648808706925002754,b'Fastest: sat/vB ($0.33)\nHalf Hour: sat/vB ($0.33)\nHour: sat/vB ($0.33)\nMinimum Fee: sat/vB ($0.04)\nPending Transactions: '
b'CarbonaraIndex',93,2023-04-19 22:00:03+00:00,"b'The price of\nSpaghetti alla Carbonara\nis 37,675 Satoshis\nor 0.00037675 BTC\n\n1 BTC = 29,170.40 USD\n1 USD = 3,428 Sat\xe2\x80\xa6 https://t.co/J7MVKOKQDV'",1648808706488905729,b'The price of\nSpaghetti alla Carbonara\nis Satoshis\nor BTC\n\n1 BTC = USD\n1 USD = Sat\xe2\x80\xa6 '
b'bitcointicker.co',4205,2023-04-19 22:00:03+00:00,b'One Bitcoin now worth $29178.00@bitstamp. High $30423.000. Low $28837.000. Market Cap $564.624 Billion #bitcoin https://t.co/4IoafY1Jzb',1648808704937017346,b'One Bitcoin now worth $29178.00. High $30423.000. Low $28837.000. Market Cap $564.624 Billion '
b'bitcointicker.co',4205,2023-04-19 22:00:03+00:00,b'One Bitcoin now worth $29178.00@bitstamp. High $30423.000. Low $28837.000. Market Cap $564.624 Billion #bitcoin',1648808704500801539,b'One Bitcoin now worth $29178.00. High $30423.000. Low $28837.000. Market Cap $564.624 Billion '
b'ProBuyOnline',27,2023-04-19 22:00:02+00:00,b'Popular crypto latest prices:\n $BTC 29132.00\n $ETH 1972.10\n $DOGE 0.088365\n $SOL 23.03\n $SHIBA 0.000011\n $ADA 0.418\xe2\x80\xa6 https://t.co/BsaGAbDvil',1648808700235202562,b'Popular crypto latest pricesn $BTC \n $ETH \n $DOGE \n $SOL \n $SHIBA \n $ADA \xe2\x80\xa6 '
b'Big Blockers',3025,2023-04-19 22:00:02+00:00,"b'The current price of Bitcoin is $29132.00.\nThe current price of BCash is $126.38, or 0.00433818 BTC.\nThe current pr\xe2\x80\xa6 https://t.co/5w52uFAs65'",1648808699660754944,"b'The current price of Bitcoin is $29132.00.\nThe current price of BCash is $126.38, or BTC.\nThe current pr\xe2\x80\xa6 '"
b'Kenny Walker',531,2023-04-19 21:55:31+00:00,b'@Carissa1177 \xe2\x80\x9cHey baby.. you have interesting tweets and are so beautiful!.. can I tell you how I make extra money\xe2\x80\xa6 https://t.co/Y50yUhr0vs',1648807566531543042,b' \xe2\x80\x9cHey baby.. you have interesting tweets and are so beautiful!.. can I tell you how I make extra money\xe2\x80\xa6 '
b'd\xf0\x9f\x8d\x90',131,2023-04-19 21:54:22+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648807273794531328,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'Eurexcoin.com',64,2023-04-19 21:43:45+00:00,b'1: Bitcoin price is $29182.19 (-0.15% 1h)\n2: Ethereum price is $1975.67 (-0.14% 1h)\n3: Tether price is $1.00 (0.00%\xe2\x80\xa6 https://t.co/QbY9RuwZqG',1648804604715442181,b'1: Bitcoin price is $29182.19 (-0.15% h)\n2: Ethereum price is $1975.67 (-0.14% h)\n3: Tether price is $1.00 (0.00%\xe2\x80\xa6 '
b'bigwin please \xf0\x9f\x8d\x80',218,2023-04-19 21:42:20+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648804245888696321,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'bigwin when',991,2023-04-19 21:41:35+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648804059397357569,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'Batdoge\xf0\x9f\xa6\x87',374,2023-04-19 21:35:56+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648802636399779840,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'Carmando',60,2023-04-19 21:35:22+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648802492992614400,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
